image_path,ground_truth
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000108-QHZmA4QTZCnzBG3HZ.jpg,2
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000123-zT9WiGpogNTW2duPu.jpg,1
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000138-hGJXmoECsAKraavzR.jpg,1
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000153-CLf3aejSKSCNt94Aw.jpg,0
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000168-T6ecK2ACpL8zQCKwL.jpg,0
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000284-v68F7QyxkFbbGqgzg.jpg,0
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000299-ZteJGSdeWHa5yH2vx.jpg,1
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000314-eX5pi3pcXMkXDivrC.jpg,1
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000329-CvNDA6nRRHaphYaCg.jpg,1
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000344-TM4zrDbGGHafGD5ew.jpg,1
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000359-FZJ62yuucEZeTisfB.jpg,1
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000374-vkJ8c96xNDdEwqAEZ.jpg,1
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000389-xNBEaFoPwygS6ykzS.jpg,1
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000404-e8cCWh4sF25XyHuwz.jpg,1
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000419-Y5KhpsrMtf5Df6AZd.jpg,2
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000434-qzBZokvbE8WjuDLb9.jpg,1
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000449-Qh6wHFh6Ax3SDM7Qx.jpg,2
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000464-dGdrWCze5LdkhXp7u.jpg,1
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000479-nvcQASNCzmahTcagj.jpg,1
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000494-eYBYumEJLKbhbGesh.jpg,1
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000509-WP4r5vbpWDXcxD2fq.jpg,1
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000524-pNnfAiiGcoGbt6Fnz.jpg,3
Dataset/FLIR_ADAS_v2/images_thermal_train/data/video-GzdKTLbkG5F7gAunM-frame-000539-3u6jWfGocAbfMb23p.jpg,3
