tiff_file,category,left_temperature,right_temperature,ground_truth
Dataset/ThermEval-D/Thermal_17,Forehead,31.04615384615385,30.33245614035088,"['left', 'right']"
Dataset/ThermEval-D/Thermal_17,Nose,29.584,28.987878787878785,"['left', 'right']"
Dataset/ThermEval-D/Thermal_17,Chest,26.559711365003007,26.917173447537472,"['right', 'left']"
Dataset/ThermEval-D/Thermal_22,Forehead,30.827659574468083,32.70322580645162,"['right', 'left']"
Dataset/ThermEval-D/Thermal_22,Nose,32.0,33.51176470588235,"['right', 'left']"
Dataset/ThermEval-D/Thermal_22,Chest,32.01489361702128,30.59748283752861,"['left', 'right']"
Dataset/ThermEval-D/Thermal_130,Forehead,33.52762430939226,33.2377308707124,"['left', 'right']"
Dataset/ThermEval-D/Thermal_130,Nose,32.013333333333335,34.3164705882353,"['right', 'left']"
Dataset/ThermEval-D/Thermal_130,Chest,31.320249150622875,31.866610983503865,"['right', 'left']"
Dataset/ThermEval-D/Thermal_139,Forehead,33.27541766109785,34.16050156739812,"['right', 'left']"
Dataset/ThermEval-D/Thermal_139,Nose,33.518115942028984,32.731944444444444,"['left', 'right']"
Dataset/ThermEval-D/Thermal_6,Forehead,31.26377952755905,30.60882352941176,"['left', 'right']"
Dataset/ThermEval-D/Thermal_6,Nose,31.285714285714285,32.278125,"['right', 'left']"
Dataset/ThermEval-D/Thermal_6,Chest,29.18128742514969,28.65148205928237,"['left', 'right']"
Dataset/ThermEval-D/Thermal_177,Forehead,33.607194244604315,33.286206896551725,"['left', 'right']"
Dataset/ThermEval-D/Thermal_32,Nose,34.931428571428576,34.00769230769232,"['left', 'right']"
Dataset/ThermEval-D/Thermal_32,Chest,34.51263227513227,33.64317147192716,"['left', 'right']"
Dataset/ThermEval-D/Thermal_104,Forehead,32.37788944723618,31.92980132450331,"['left', 'right']"
Dataset/ThermEval-D/Thermal_104,Nose,33.8044776119403,34.35178571428572,"['right', 'left']"
Dataset/ThermEval-D/Thermal_104,Chest,31.96798288910826,32.261924009700884,"['right', 'left']"
Dataset/ThermEval-D/Thermal_36,Forehead,32.69481865284974,33.69847094801223,"['right', 'left']"
Dataset/ThermEval-D/Thermal_36,Nose,33.005494505494504,33.430612244897965,"['right', 'left']"
Dataset/ThermEval-D/Thermal_36,Chest,31.252239467849225,32.710868331441546,"['right', 'left']"
Dataset/ThermEval-D/Thermal_232,Forehead,33.32232142857142,33.6572972972973,"['right', 'left']"
Dataset/ThermEval-D/Thermal_232,Nose,33.259523809523806,33.584057971014495,"['right', 'left']"
Dataset/ThermEval-D/Thermal_232,Chest,32.17991498405951,31.685207577589683,"['left', 'right']"
Dataset/ThermEval-D/Thermal_205,Forehead,32.44211409395973,34.07942583732057,"['right', 'left']"
Dataset/ThermEval-D/Thermal_205,Nose,33.06094276094276,34.31764705882353,"['right', 'left']"
Dataset/ThermEval-D/Thermal_205,Chest,32.42045194871143,34.08225718936516,"['right', 'left']"
Dataset/ThermEval-D/Thermal_96,Forehead,36.1175572519084,36.572535211267606,"['right', 'left']"
Dataset/ThermEval-D/Thermal_96,Nose,36.34594594594594,36.79117647058824,"['right', 'left']"
Dataset/ThermEval-D/Thermal_96,Chest,34.061023985239856,34.72583932853717,"['right', 'left']"
Dataset/ThermEval-D/Thermal_21,Forehead,35.139830508474574,36.42824858757062,"['right', 'left']"
Dataset/ThermEval-D/Thermal_21,Chest,34.07524639878696,33.97947103274559,"['left', 'right']"
Dataset/ThermEval-D/Thermal_10,Forehead,32.20484848484848,32.38071065989848,"['right', 'left']"
Dataset/ThermEval-D/Thermal_10,Nose,30.39868421052632,30.80267857142857,"['right', 'left']"
Dataset/ThermEval-D/Thermal_10,Chest,28.02533651758576,29.406527468072166,"['right', 'left']"
Dataset/ThermEval-D/Thermal_218,Chest,31.822605965463108,30.633147373314745,"['left', 'right']"
Dataset/ThermEval-D/Thermal_224,Chest,29.65885111371629,31.091135655621635,"['right', 'left']"
Dataset/ThermEval-D/Thermal_30,Nose,33.38823529411765,34.60625,"['right', 'left']"
Dataset/ThermEval-D/Thermal_30,Chest,32.73817951959545,32.74136715997181,"['right', 'left']"
Dataset/ThermEval-D/Thermal_25,Forehead,33.71468926553672,33.67292576419214,"['left', 'right']"
Dataset/ThermEval-D/Thermal_25,Nose,33.84444444444445,34.90151515151515,"['right', 'left']"
Dataset/ThermEval-D/Thermal_25,Chest,33.40795954265612,33.03262518968133,"['left', 'right']"
Dataset/ThermEval-D/Thermal_137,Forehead,33.26081081081082,34.004938271604935,"['right', 'left']"
Dataset/ThermEval-D/Thermal_137,Chest,31.5962852897474,32.07655453618756,"['right', 'left']"
Dataset/ThermEval-D/Thermal_223,Chest,29.31491891891892,30.385309278350515,"['right', 'left']"
Dataset/ThermEval-D/Thermal_225,Forehead,34.012307692307694,32.171875,"['left', 'right']"
Dataset/ThermEval-D/Thermal_225,Chest,29.5875117370892,30.991223086124403,"['right', 'left']"
Dataset/ThermEval-D/Thermal_69,Forehead,30.91190476190476,32.63373493975904,"['right', 'left']"
Dataset/ThermEval-D/Thermal_69,Nose,28.932,31.61282051282051,"['right', 'left']"
Dataset/ThermEval-D/Thermal_69,Chest,27.50166240409207,28.17579068430132,"['right', 'left']"
Dataset/ThermEval-D/Thermal_64,Forehead,31.250666666666664,30.545454545454547,"['left', 'right']"
Dataset/ThermEval-D/Thermal_64,Nose,30.75806451612903,28.874285714285712,"['left', 'right']"
Dataset/ThermEval-D/Thermal_64,Chest,27.495982142857144,27.488706256627783,"['left', 'right']"
Dataset/ThermEval-D/Thermal_63,Forehead,31.411340206185567,30.951428571428576,"['left', 'right']"
Dataset/ThermEval-D/Thermal_63,Nose,31.380000000000003,32.426923076923075,"['right', 'left']"
Dataset/ThermEval-D/Thermal_63,Chest,28.34424778761062,28.906578947368416,"['right', 'left']"
Dataset/ThermEval-D/Thermal_46,Forehead,33.386419753086415,33.48309859154931,"['right', 'left']"
Dataset/ThermEval-D/Thermal_46,Nose,33.94500000000001,35.4468085106383,"['right', 'left']"
Dataset/ThermEval-D/Thermal_46,Chest,31.451401869158875,31.921534437663464,"['right', 'left']"
Dataset/ThermEval-D/Thermal_174,Forehead,33.13265306122449,33.835344827586205,"['right', 'left']"
Dataset/ThermEval-D/Thermal_174,Chest,32.75320447609359,32.451469740634,"['left', 'right']"
Dataset/ThermEval-D/Thermal_41,Chest,33.4770243902439,32.917943409247755,"['left', 'right']"
Dataset/ThermEval-D/Thermal_1,Forehead,32.11705685618729,31.581460674157302,"['left', 'right']"
Dataset/ThermEval-D/Thermal_1,Nose,32.596739130434784,31.11739130434782,"['left', 'right']"
Dataset/ThermEval-D/Thermal_1,Chest,28.32127659574468,28.69540400296516,"['right', 'left']"
Dataset/ThermEval-D/Thermal_129,Forehead,34.54528301886792,33.38279569892473,"['left', 'right']"
Dataset/ThermEval-D/Thermal_129,Chest,32.599598070739546,32.707826649417854,"['right', 'left']"
Dataset/ThermEval-D/Thermal_31,Forehead,33.9187165775401,34.58571428571429,"['right', 'left']"
Dataset/ThermEval-D/Thermal_31,Nose,33.584285714285706,34.618,"['right', 'left']"
Dataset/ThermEval-D/Thermal_31,Chest,32.56025641025641,32.755624795014754,"['right', 'left']"
Dataset/ThermEval-D/Thermal_219,Forehead,32.09618644067796,34.46254071661238,"['right', 'left']"
Dataset/ThermEval-D/Thermal_219,Chest,31.96636255454185,30.676492330438,"['left', 'right']"
Dataset/ThermEval-D/Thermal_131,Forehead,33.099999999999994,32.72577962577962,"['left', 'right']"
Dataset/ThermEval-D/Thermal_131,Nose,31.61307692307692,33.47727272727273,"['right', 'left']"
Dataset/ThermEval-D/Thermal_131,Chest,31.43027568922305,31.41692307692308,"['left', 'right']"
Dataset/ThermEval-D/Thermal_9,Forehead,31.6311475409836,30.715966386554616,"['left', 'right']"
Dataset/ThermEval-D/Thermal_9,Nose,30.416666666666664,29.845454545454544,"['left', 'right']"
Dataset/ThermEval-D/Thermal_9,Chest,27.438297872340424,28.626056782334388,"['right', 'left']"
Dataset/ThermEval-D/Thermal_203,Forehead,30.6866028708134,33.339112903225804,"['right', 'left']"
Dataset/ThermEval-D/Thermal_203,Nose,31.33793103448276,33.29375,"['right', 'left']"
Dataset/ThermEval-D/Thermal_203,Chest,31.307006920415223,32.01784812584968,"['right', 'left']"
Dataset/ThermEval-D/Thermal_35,Forehead,33.27362637362638,34.03392857142857,"['right', 'left']"
Dataset/ThermEval-D/Thermal_35,Nose,33.13939393939393,33.47714285714285,"['right', 'left']"
Dataset/ThermEval-D/Thermal_35,Chest,31.69502793296089,33.22125850340136,"['right', 'left']"
Dataset/ThermEval-D/Thermal_85,Forehead,31.359504132231404,33.833050847457635,"['right', 'left']"
Dataset/ThermEval-D/Thermal_85,Nose,31.679487179487182,30.53333333333334,"['left', 'right']"
