tiff_file,category,side,ground_truth
Dataset/ThermEval-D/Thermal_17,Chest,left,26.559711365003007
Dataset/ThermEval-D/Thermal_17,Chest,right,26.917173447537472
Dataset/ThermEval-D/Thermal_17,Forehead,left,31.04615384615385
Dataset/ThermEval-D/Thermal_17,Forehead,right,30.33245614035088
Dataset/ThermEval-D/Thermal_17,Nose,left,29.584
Dataset/ThermEval-D/Thermal_17,Nose,right,28.987878787878785
Dataset/ThermEval-D/Thermal_22,Chest,left,32.01489361702128
Dataset/ThermEval-D/Thermal_22,Chest,right,30.59748283752861
Dataset/ThermEval-D/Thermal_22,Nose,left,32.0
Dataset/ThermEval-D/Thermal_22,Nose,right,33.51176470588235
Dataset/ThermEval-D/Thermal_22,Forehead,left,30.827659574468083
Dataset/ThermEval-D/Thermal_22,Forehead,right,32.70322580645162
Dataset/ThermEval-D/Thermal_130,Chest,left,31.320249150622875
Dataset/ThermEval-D/Thermal_130,Chest,right,31.866610983503865
Dataset/ThermEval-D/Thermal_130,Forehead,left,33.52762430939226
Dataset/ThermEval-D/Thermal_130,Forehead,right,33.2377308707124
Dataset/ThermEval-D/Thermal_130,Nose,left,32.013333333333335
Dataset/ThermEval-D/Thermal_130,Nose,right,34.3164705882353
Dataset/ThermEval-D/Thermal_139,Forehead,left,33.27541766109785
Dataset/ThermEval-D/Thermal_139,Forehead,right,34.16050156739812
Dataset/ThermEval-D/Thermal_139,Nose,left,33.518115942028984
Dataset/ThermEval-D/Thermal_139,Nose,right,32.731944444444444
Dataset/ThermEval-D/Thermal_6,Chest,left,29.18128742514969
Dataset/ThermEval-D/Thermal_6,Chest,right,28.65148205928237
Dataset/ThermEval-D/Thermal_6,Forehead,left,31.26377952755905
Dataset/ThermEval-D/Thermal_6,Forehead,right,30.60882352941176
Dataset/ThermEval-D/Thermal_6,Nose,left,31.285714285714285
Dataset/ThermEval-D/Thermal_6,Nose,right,32.278125
Dataset/ThermEval-D/Thermal_177,Forehead,left,33.607194244604315
Dataset/ThermEval-D/Thermal_177,Forehead,right,33.286206896551725
Dataset/ThermEval-D/Thermal_32,Chest,left,34.51263227513227
Dataset/ThermEval-D/Thermal_32,Chest,right,33.64317147192716
Dataset/ThermEval-D/Thermal_32,Nose,left,34.931428571428576
Dataset/ThermEval-D/Thermal_32,Nose,right,34.00769230769232
Dataset/ThermEval-D/Thermal_104,Chest,left,31.96798288910826
Dataset/ThermEval-D/Thermal_104,Chest,right,32.261924009700884
Dataset/ThermEval-D/Thermal_104,Forehead,left,32.37788944723618
