tiff_file,category,ground_truth
Dataset/ThermEval-D/Thermal_92,Chest,33.5023619427811
Dataset/ThermEval-D/Thermal_92,Forehead,35.99271457085828
Dataset/ThermEval-D/Thermal_92,Nose,35.96351351351351
Dataset/ThermEval-D/Thermal_37,Chest,34.4307321350285
Dataset/ThermEval-D/Thermal_37,Nose,36.56417910447762
Dataset/ThermEval-D/Thermal_37,Forehead,35.39622641509434
Dataset/ThermEval-D/Thermal_86,Chest,32.18880395683453
Dataset/ThermEval-D/Thermal_86,Forehead,32.88035714285714
Dataset/ThermEval-D/Thermal_86,Nose,33.81590909090909
Dataset/ThermEval-D/Thermal_159,Forehead,33.64529147982062
Dataset/ThermEval-D/Thermal_159,Chest,32.19667036625971
Dataset/ThermEval-D/Thermal_162,Chest,31.87355072463768
Dataset/ThermEval-D/Thermal_162,Nose,35.10344827586207
Dataset/ThermEval-D/Thermal_162,Forehead,33.19122807017544
Dataset/ThermEval-D/Thermal_221,Chest,29.39857482185273
Dataset/ThermEval-D/Thermal_157,Chest,33.90724335591454
Dataset/ThermEval-D/Thermal_157,Forehead,34.24216867469879
Dataset/ThermEval-D/Thermal_70,Nose,34.44252336448598
Dataset/ThermEval-D/Thermal_70,Forehead,34.72409523809524
Dataset/ThermEval-D/Thermal_70,Chest,30.49426791277259
Dataset/ThermEval-D/Thermal_122,Chest,34.78383050847457
Dataset/ThermEval-D/Thermal_122,Forehead,33.768852459016394
Dataset/ThermEval-D/Thermal_122,Nose,35.59782608695652
Dataset/ThermEval-D/Thermal_160,Forehead,33.04003944773175
Dataset/ThermEval-D/Thermal_160,Chest,31.606003752345217
Dataset/ThermEval-D/Thermal_61,Nose,27.02522522522523
Dataset/ThermEval-D/Thermal_61,Chest,27.594864524259613
Dataset/ThermEval-D/Thermal_61,Forehead,32.40470588235294
Dataset/ThermEval-D/Thermal_181,Chest,32.80537838042572
Dataset/ThermEval-D/Thermal_181,Nose,33.532
Dataset/ThermEval-D/Thermal_181,Forehead,31.317987152034263
Dataset/ThermEval-D/Thermal_19,Forehead,31.916000000000004
Dataset/ThermEval-D/Thermal_19,Nose,29.19887640449438
Dataset/ThermEval-D/Thermal_133,Chest,31.51670533642692
Dataset/ThermEval-D/Thermal_133,Forehead,32.32155963302752
Dataset/ThermEval-D/Thermal_133,Nose,32.82203389830509
Dataset/ThermEval-D/Thermal_186,Forehead,33.019444444444446
Dataset/ThermEval-D/Thermal_186,Chest,31.907236842105263
Dataset/ThermEval-D/Thermal_206,Chest,34.01180371352785
Dataset/ThermEval-D/Thermal_206,Forehead,33.825742574257426
Dataset/ThermEval-D/Thermal_206,Nose,34.20792682926829
Dataset/ThermEval-D/Thermal_49,Chest,29.03990476190476
Dataset/ThermEval-D/Thermal_49,Forehead,30.82590909090909
Dataset/ThermEval-D/Thermal_49,Forehead,31.489361702127663
Dataset/ThermEval-D/Thermal_49,Nose,31.29122807017544
Dataset/ThermEval-D/Thermal_75,Nose,28.346625766871167
Dataset/ThermEval-D/Thermal_75,Forehead,32.60018467220683
Dataset/ThermEval-D/Thermal_135,Chest,32.59127725856698
Dataset/ThermEval-D/Thermal_135,Nose,33.691596638655454
Dataset/ThermEval-D/Thermal_135,Forehead,33.31182266009852
Dataset/ThermEval-D/Thermal_14,Chest,25.749526387009475
Dataset/ThermEval-D/Thermal_14,Forehead,31.1895652173913
Dataset/ThermEval-D/Thermal_14,Nose,29.16538461538461
Dataset/ThermEval-D/Thermal_90,Chest,33.52770888973674
Dataset/ThermEval-D/Thermal_90,Forehead,34.908185538881305
Dataset/ThermEval-D/Thermal_90,Nose,35.172865853658536
Dataset/ThermEval-D/Thermal_198,Chest,31.94
Dataset/ThermEval-D/Thermal_134,Chest,32.925685521261094
Dataset/ThermEval-D/Thermal_134,Forehead,33.578600823045264
Dataset/ThermEval-D/Thermal_134,Nose,34.58939393939394
Dataset/ThermEval-D/Thermal_183,Chest,29.586369268897148
Dataset/ThermEval-D/Thermal_183,Forehead,28.08223495702006
Dataset/ThermEval-D/Thermal_183,Nose,31.012162162162163
Dataset/ThermEval-D/Thermal_155,Chest,35.35822479498312
Dataset/ThermEval-D/Thermal_226,Chest,31.63137876386688
Dataset/ThermEval-D/Thermal_172,Nose,32.55882352941177
Dataset/ThermEval-D/Thermal_172,Forehead,32.68775510204082
Dataset/ThermEval-D/Thermal_55,Forehead,32.849858757062144
Dataset/ThermEval-D/Thermal_55,Nose,26.56233333333333
Dataset/ThermEval-D/Thermal_29,Chest,31.30262428203605
Dataset/ThermEval-D/Thermal_29,Nose,31.665
Dataset/ThermEval-D/Thermal_29,Forehead,33.19383333333333
Dataset/ThermEval-D/Thermal_146,Chest,32.40037974683544
Dataset/ThermEval-D/Thermal_146,Forehead,33.88356807511737
Dataset/ThermEval-D/Thermal_146,Nose,34.9065934065934
Dataset/ThermEval-D/Thermal_169,Nose,32.03333333333333
Dataset/ThermEval-D/Thermal_169,Forehead,32.985
Dataset/ThermEval-D/Thermal_18,Chest,28.17485294117647
Dataset/ThermEval-D/Thermal_18,Forehead,30.5605633802817
Dataset/ThermEval-D/Thermal_18,Nose,32.080769230769235
Dataset/ThermEval-D/Thermal_189,Chest,31.511491791577445
Dataset/ThermEval-D/Thermal_189,Forehead,31.435483870967737
Dataset/ThermEval-D/Thermal_120,Chest,32.57484254093935
Dataset/ThermEval-D/Thermal_120,Forehead,32.40961182994455
Dataset/ThermEval-D/Thermal_120,Nose,34.62661870503597
Dataset/ThermEval-D/Thermal_102,Chest,33.45749085086916
Dataset/ThermEval-D/Thermal_102,Nose,35.5728624535316
Dataset/ThermEval-D/Thermal_102,Forehead,35.307424071991
Dataset/ThermEval-D/Thermal_119,Chest,32.19934365781711
Dataset/ThermEval-D/Thermal_119,Nose,34.71647058823529
Dataset/ThermEval-D/Thermal_119,Forehead,32.36666666666666
Dataset/ThermEval-D/Thermal_128,Nose,34.84952380952381
Dataset/ThermEval-D/Thermal_128,Forehead,34.47081545064378
Dataset/ThermEval-D/Thermal_128,Chest,34.14356568364611
Dataset/ThermEval-D/Thermal_16,Forehead,32.41086361860101
Dataset/ThermEval-D/Thermal_16,Chest,26.24395694796737
Dataset/ThermEval-D/Thermal_154,Chest,35.71057692307693
Dataset/ThermEval-D/Thermal_83,Chest,28.84286636539703
Dataset/ThermEval-D/Thermal_83,Forehead,32.669852941176465
Dataset/ThermEval-D/Thermal_83,Nose,32.55142857142857
Dataset/ThermEval-D/Thermal_173,Nose,32.175
Dataset/ThermEval-D/Thermal_3,Nose,33.29615384615384
Dataset/ThermEval-D/Thermal_3,Forehead,33.61326530612245
Dataset/ThermEval-D/Thermal_99,Forehead,36.68210116731517
Dataset/ThermEval-D/Thermal_99,Nose,36.407042253521126
Dataset/ThermEval-D/Thermal_99,Chest,34.723554065381386
Dataset/ThermEval-D/Thermal_12,Chest,22.65415053039232
Dataset/ThermEval-D/Thermal_12,Nose,26.151578947368428
Dataset/ThermEval-D/Thermal_12,Forehead,27.497731958762884
Dataset/ThermEval-D/Thermal_66,Chest,28.52709338325293
Dataset/ThermEval-D/Thermal_66,Nose,33.48190045248869
Dataset/ThermEval-D/Thermal_66,Forehead,33.71431578947368
Dataset/ThermEval-D/Thermal_148,Chest,31.959788688626475
Dataset/ThermEval-D/Thermal_148,Nose,34.221604938271604
Dataset/ThermEval-D/Thermal_148,Forehead,32.55190217391304
Dataset/ThermEval-D/Thermal_197,Forehead,32.081818181818186
Dataset/ThermEval-D/Thermal_197,Chest,32.13911439114391
Dataset/ThermEval-D/Thermal_188,Chest,31.507020997375328
Dataset/ThermEval-D/Thermal_188,Forehead,32.89746835443038
Dataset/ThermEval-D/Thermal_97,Chest,31.969791666666666
