tiff_file,distance,category,ground_truth
Dataset/ThermEval-D/Thermal_357,6ft,Person,32.13686
Dataset/ThermEval-D/Thermal_357,6ft,Chest,31.64423
Dataset/ThermEval-D/Thermal_357,6ft,Forehead,33.163242
Dataset/ThermEval-D/Thermal_391,6ft,Forehead,36.27128
Dataset/ThermEval-D/Thermal_391,6ft,Person,34.16297
Dataset/ThermEval-D/Thermal_391,6ft,Chest,34.17515
Dataset/ThermEval-D/Thermal_334,2ft,Person,32.245243
Dataset/ThermEval-D/Thermal_334,2ft,Nose,34.861435
Dataset/ThermEval-D/Thermal_334,2ft,Forehead,33.48365
Dataset/ThermEval-D/Thermal_334,2ft,Chest,32.02229
Dataset/ThermEval-D/Thermal_412,10ft,Person,31.936403
Dataset/ThermEval-D/Thermal_412,10ft,Chest,32.03574
Dataset/ThermEval-D/Thermal_412,10ft,Forehead,33.82386
Dataset/ThermEval-D/Thermal_358,6ft,Person,32.092205
Dataset/ThermEval-D/Thermal_358,6ft,Chest,31.61564
Dataset/ThermEval-D/Thermal_358,6ft,Forehead,33.205708
Dataset/ThermEval-D/Thermal_358,6ft,Nose,33.932377
Dataset/ThermEval-D/Thermal_402,6ft,Person,32.933357
Dataset/ThermEval-D/Thermal_402,6ft,Forehead,34.502785
Dataset/ThermEval-D/Thermal_402,6ft,Chest,33.167435
Dataset/ThermEval-D/Thermal_394,6ft,Person,33.230026
Dataset/ThermEval-D/Thermal_394,6ft,Forehead,34.979813
Dataset/ThermEval-D/Thermal_394,6ft,Chest,33.265293
Dataset/ThermEval-D/Thermal_403,6ft,Person,32.834423
Dataset/ThermEval-D/Thermal_403,6ft,Forehead,34.39011
Dataset/ThermEval-D/Thermal_403,6ft,Chest,33.126328
Dataset/ThermEval-D/Thermal_333,2ft,Person,32.876682
Dataset/ThermEval-D/Thermal_333,2ft,Nose,35.522068
Dataset/ThermEval-D/Thermal_333,2ft,Forehead,34.21645
Dataset/ThermEval-D/Thermal_333,2ft,Chest,32.67919
Dataset/ThermEval-D/Thermal_352,6ft,Person,32.597427
Dataset/ThermEval-D/Thermal_352,6ft,Chest,32.128185
Dataset/ThermEval-D/Thermal_352,6ft,Forehead,33.500904
Dataset/ThermEval-D/Thermal_363,10ft,Person,33.39023
Dataset/ThermEval-D/Thermal_363,10ft,Chest,32.80552
Dataset/ThermEval-D/Thermal_363,10ft,Forehead,34.74089
Dataset/ThermEval-D/Thermal_407,10ft,Nose,33.29643
Dataset/ThermEval-D/Thermal_407,10ft,Forehead,34.14583
Dataset/ThermEval-D/Thermal_407,10ft,Chest,32.629284
Dataset/ThermEval-D/Thermal_407,10ft,Person,32.48761
Dataset/ThermEval-D/Thermal_351,6ft,Person,32.650116
Dataset/ThermEval-D/Thermal_351,6ft,Chest,32.2002
Dataset/ThermEval-D/Thermal_351,6ft,Forehead,34.199116
Dataset/ThermEval-D/Thermal_331,2ft,Person,34.193657
Dataset/ThermEval-D/Thermal_331,2ft,Forehead,35.114773
Dataset/ThermEval-D/Thermal_331,2ft,Nose,36.969273
Dataset/ThermEval-D/Thermal_331,2ft,Chest,34.0503
Dataset/ThermEval-D/Thermal_344,2ft,Person,32.278446
Dataset/ThermEval-D/Thermal_344,2ft,Nose,34.75191
Dataset/ThermEval-D/Thermal_344,2ft,Forehead,33.173473
Dataset/ThermEval-D/Thermal_344,2ft,Chest,31.965935
Dataset/ThermEval-D/Thermal_338,2ft,Person,32.904087
Dataset/ThermEval-D/Thermal_338,2ft,Nose,35.58361
Dataset/ThermEval-D/Thermal_338,2ft,Forehead,34.24679
Dataset/ThermEval-D/Thermal_338,2ft,Chest,32.576942
Dataset/ThermEval-D/Thermal_379,2ft,Nose,35.900604
Dataset/ThermEval-D/Thermal_379,2ft,Forehead,35.264023
Dataset/ThermEval-D/Thermal_379,2ft,Chest,34.366753
Dataset/ThermEval-D/Thermal_379,2ft,Person,34.344486
Dataset/ThermEval-D/Thermal_368,10ft,Person,31.855104
Dataset/ThermEval-D/Thermal_368,10ft,Chest,31.232632
Dataset/ThermEval-D/Thermal_397,6ft,Person,32.912857
Dataset/ThermEval-D/Thermal_397,6ft,Chest,32.86608
Dataset/ThermEval-D/Thermal_343,2ft,Nose,34.5854
Dataset/ThermEval-D/Thermal_343,2ft,Forehead,33.457863
Dataset/ThermEval-D/Thermal_343,2ft,Chest,32.150608
Dataset/ThermEval-D/Thermal_343,2ft,Person,32.427094
Dataset/ThermEval-D/Thermal_393,6ft,Person,33.308414
Dataset/ThermEval-D/Thermal_393,6ft,Nose,33.979305
Dataset/ThermEval-D/Thermal_393,6ft,Forehead,35.15056
Dataset/ThermEval-D/Thermal_393,6ft,Chest,33.302467
Dataset/ThermEval-D/Thermal_361,10ft,Person,33.536293
Dataset/ThermEval-D/Thermal_361,10ft,Chest,32.938957
Dataset/ThermEval-D/Thermal_361,10ft,Forehead,34.9488
Dataset/ThermEval-D/Thermal_414,10ft,Person,31.627748
Dataset/ThermEval-D/Thermal_414,10ft,Chest,31.8418
Dataset/ThermEval-D/Thermal_367,10ft,Person,31.885563
Dataset/ThermEval-D/Thermal_367,10ft,Chest,31.225601
Dataset/ThermEval-D/Thermal_339,2ft,Person,32.55075
Dataset/ThermEval-D/Thermal_339,2ft,Chest,32.207176
Dataset/ThermEval-D/Thermal_339,2ft,Nose,34.876522
Dataset/ThermEval-D/Thermal_339,2ft,Forehead,33.75857
Dataset/ThermEval-D/Thermal_387,2ft,Nose,34.53242
Dataset/ThermEval-D/Thermal_387,2ft,Chest,33.18237
Dataset/ThermEval-D/Thermal_387,2ft,Person,33.05276
Dataset/ThermEval-D/Thermal_411,10ft,Person,32.055935
Dataset/ThermEval-D/Thermal_411,10ft,Chest,32.12055
Dataset/ThermEval-D/Thermal_406,10ft,Person,32.68789
Dataset/ThermEval-D/Thermal_406,10ft,Chest,32.753372
Dataset/ThermEval-D/Thermal_406,10ft,Forehead,34.28412
Dataset/ThermEval-D/Thermal_398,6ft,Nose,33.90208
Dataset/ThermEval-D/Thermal_398,6ft,Forehead,33.834763
Dataset/ThermEval-D/Thermal_398,6ft,Chest,32.700985
Dataset/ThermEval-D/Thermal_398,6ft,Person,32.619904
Dataset/ThermEval-D/Thermal_345,2ft,Person,32.150356
Dataset/ThermEval-D/Thermal_345,2ft,Nose,33.72406
Dataset/ThermEval-D/Thermal_345,2ft,Forehead,33.18084
Dataset/ThermEval-D/Thermal_345,2ft,Chest,31.89334
Dataset/ThermEval-D/Thermal_364,10ft,Person,33.34151
Dataset/ThermEval-D/Thermal_364,10ft,Nose,33.46458
Dataset/ThermEval-D/Thermal_364,10ft,Forehead,34.546177
Dataset/ThermEval-D/Thermal_364,10ft,Chest,32.717873
Dataset/ThermEval-D/Thermal_378,2ft,Forehead,35.96529
Dataset/ThermEval-D/Thermal_378,2ft,Nose,35.4326
Dataset/ThermEval-D/Thermal_378,2ft,Chest,34.868286
Dataset/ThermEval-D/Thermal_378,2ft,Person,34.786438
Dataset/ThermEval-D/Thermal_404,6ft,Person,32.924896
Dataset/ThermEval-D/Thermal_404,6ft,Chest,32.928246
Dataset/ThermEval-D/Thermal_404,6ft,Forehead,34.29051
Dataset/ThermEval-D/Thermal_399,6ft,Person,32.42763
Dataset/ThermEval-D/Thermal_399,6ft,Nose,33.928123
Dataset/ThermEval-D/Thermal_399,6ft,Forehead,33.88861
Dataset/ThermEval-D/Thermal_399,6ft,Chest,32.414017
Dataset/ThermEval-D/Thermal_401,6ft,Person,32.883
Dataset/ThermEval-D/Thermal_401,6ft,Chest,33.086773
Dataset/ThermEval-D/Thermal_401,6ft,Forehead,34.615273
Dataset/ThermEval-D/Thermal_342,2ft,Forehead,33.7868
Dataset/ThermEval-D/Thermal_342,2ft,Nose,35.18195
Dataset/ThermEval-D/Thermal_342,2ft,Chest,32.32135
Dataset/ThermEval-D/Thermal_342,2ft,Person,32.559376
Dataset/ThermEval-D/Thermal_356,6ft,Person,31.990133
Dataset/ThermEval-D/Thermal_356,6ft,Chest,31.548853
Dataset/ThermEval-D/Thermal_383,2ft,Nose,34.904976
Dataset/ThermEval-D/Thermal_383,2ft,Forehead,35.146492
Dataset/ThermEval-D/Thermal_383,2ft,Chest,33.893192
Dataset/ThermEval-D/Thermal_383,2ft,Person,34.08055
Dataset/ThermEval-D/Thermal_419,10ft,Person,32.324875
Dataset/ThermEval-D/Thermal_419,10ft,Chest,32.485226
Dataset/ThermEval-D/Thermal_396,6ft,Person,32.889095
Dataset/ThermEval-D/Thermal_396,6ft,Forehead,33.82698
Dataset/ThermEval-D/Thermal_396,6ft,Nose,32.644115
Dataset/ThermEval-D/Thermal_396,6ft,Chest,32.939007
Dataset/ThermEval-D/Thermal_380,2ft,Chest,33.844063
Dataset/ThermEval-D/Thermal_380,2ft,Nose,32.7625
Dataset/ThermEval-D/Thermal_380,2ft,Person,33.593136
Dataset/ThermEval-D/Thermal_385,2ft,Nose,34.40481
Dataset/ThermEval-D/Thermal_385,2ft,Forehead,34.998627
Dataset/ThermEval-D/Thermal_385,2ft,Chest,33.652363
Dataset/ThermEval-D/Thermal_385,2ft,Person,33.691242
Dataset/ThermEval-D/Thermal_347,6ft,Person,33.317856
Dataset/ThermEval-D/Thermal_347,6ft,Forehead,34.451942
Dataset/ThermEval-D/Thermal_347,6ft,Nose,35.502773
Dataset/ThermEval-D/Thermal_347,6ft,Chest,32.889362
Dataset/ThermEval-D/Thermal_405,6ft,Person,32.835846
Dataset/ThermEval-D/Thermal_405,6ft,Chest,32.800724
Dataset/ThermEval-D/Thermal_405,6ft,Forehead,34.20514
Dataset/ThermEval-D/Thermal_369,10ft,Person,31.61323
Dataset/ThermEval-D/Thermal_369,10ft,Chest,30.998615
Dataset/ThermEval-D/Thermal_418,10ft,Forehead,33.553703
Dataset/ThermEval-D/Thermal_418,10ft,Chest,32.567192
Dataset/ThermEval-D/Thermal_418,10ft,Person,32.426353
Dataset/ThermEval-D/Thermal_346,6ft,Person,33.46641
Dataset/ThermEval-D/Thermal_346,6ft,Forehead,34.673985
Dataset/ThermEval-D/Thermal_346,6ft,Chest,32.99596
Dataset/ThermEval-D/Thermal_416,10ft,Person,32.521168
Dataset/ThermEval-D/Thermal_416,10ft,Chest,32.741016
Dataset/ThermEval-D/Thermal_341,2ft,Person,32.64831
Dataset/ThermEval-D/Thermal_341,2ft,Forehead,33.97813
Dataset/ThermEval-D/Thermal_341,2ft,Nose,35.930706
Dataset/ThermEval-D/Thermal_341,2ft,Chest,32.442085
