tiff_file,category,ground_truth
Dataset/ThermEval-D/Thermal_357,person,"[0.32, 0.37, 0.64, 0.99]"
Dataset/ThermEval-D/Thermal_357,chest,"[0.39, 0.53, 0.55, 0.73]"
Dataset/ThermEval-D/Thermal_357,forehead,"[0.48, 0.42, 0.54, 0.46]"
Dataset/ThermEval-D/Thermal_391,forehead,"[0.45, 0.43, 0.51, 0.49]"
Dataset/ThermEval-D/Thermal_391,person,"[0.3, 0.42, 0.61, 0.99]"
Dataset/ThermEval-D/Thermal_391,chest,"[0.41, 0.56, 0.57, 0.72]"
Dataset/ThermEval-D/Thermal_334,person,"[0.18, 0.22, 0.8, 0.99]"
Dataset/ThermEval-D/Thermal_334,nose,"[0.39, 0.37, 0.44, 0.42]"
Dataset/ThermEval-D/Thermal_334,forehead,"[0.4, 0.28, 0.49, 0.34]"
Dataset/ThermEval-D/Thermal_334,chest,"[0.32, 0.53, 0.63, 0.99]"
Dataset/ThermEval-D/Thermal_412,person,"[0.35, 0.44, 0.52, 0.97]"
Dataset/ThermEval-D/Thermal_412,chest,"[0.41, 0.53, 0.49, 0.64]"
Dataset/ThermEval-D/Thermal_412,forehead,"[0.43, 0.45, 0.47, 0.48]"
Dataset/ThermEval-D/Thermal_358,person,"[0.32, 0.39, 0.64, 0.99]"
Dataset/ThermEval-D/Thermal_358,chest,"[0.39, 0.52, 0.55, 0.74]"
Dataset/ThermEval-D/Thermal_358,forehead,"[0.5, 0.41, 0.54, 0.45]"
Dataset/ThermEval-D/Thermal_358,nose,"[0.53, 0.47, 0.55, 0.5]"
Dataset/ThermEval-D/Thermal_402,person,"[0.3, 0.43, 0.6, 0.99]"
Dataset/ThermEval-D/Thermal_402,forehead,"[0.44, 0.49, 0.51, 0.54]"
Dataset/ThermEval-D/Thermal_402,chest,"[0.41, 0.56, 0.57, 0.74]"
Dataset/ThermEval-D/Thermal_394,person,"[0.29, 0.42, 0.6, 0.99]"
Dataset/ThermEval-D/Thermal_394,forehead,"[0.45, 0.44, 0.5, 0.49]"
Dataset/ThermEval-D/Thermal_394,chest,"[0.43, 0.56, 0.57, 0.72]"
Dataset/ThermEval-D/Thermal_403,person,"[0.26, 0.42, 0.62, 0.99]"
Dataset/ThermEval-D/Thermal_403,forehead,"[0.45, 0.48, 0.51, 0.52]"
Dataset/ThermEval-D/Thermal_403,chest,"[0.43, 0.56, 0.57, 0.73]"
Dataset/ThermEval-D/Thermal_333,person,"[0.18, 0.22, 0.8, 0.99]"
Dataset/ThermEval-D/Thermal_333,nose,"[0.54, 0.37, 0.58, 0.43]"
Dataset/ThermEval-D/Thermal_333,forehead,"[0.48, 0.26, 0.56, 0.35]"
Dataset/ThermEval-D/Thermal_333,chest,"[0.32, 0.52, 0.61, 0.99]"
Dataset/ThermEval-D/Thermal_352,person,"[0.32, 0.37, 0.65, 0.99]"
Dataset/ThermEval-D/Thermal_352,chest,"[0.39, 0.53, 0.56, 0.74]"
Dataset/ThermEval-D/Thermal_352,forehead,"[0.46, 0.37, 0.51, 0.4]"
Dataset/ThermEval-D/Thermal_363,person,"[0.37, 0.41, 0.57, 0.98]"
Dataset/ThermEval-D/Thermal_363,chest,"[0.42, 0.5, 0.53, 0.64]"
